name,image_url
半春莲,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9yZW5qaXlpeXVhbi5jb20vdXBsb2Fkcy9hbGxpbWcvMjIxMDEyLzlfWVpXMTUuanBn&sign=yx:oXepKpq06bP9ib4GILdOjGexFhI=&tv=400_400
布狗尾,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3NzMi5tZWlwaWFuLm1lL3VzZXJzLzUyNTM5OTMwLzAwMDliODMyNTVhNDU1MTY5NzZlZDRkYzY3OTBmYzFmLmpwZz9tZWlwaWFuLXJhdy9idWNrZXQvaXZ3ZW4va2V5L2RYTmxjbk12TlRJMU16azVNekF2TURBd09XSTRNekkxTldFME5UVXhOamszTm1Wa05HUmpOamM1TUdaak1XWXVhbkJuL3NpZ24vMTcwMDhmZjE4MmQ0NTIzMmNmNTc1NThmYWI5OTUyNjcuanBn&sign=yx:E0XXSHIR-JCJO_48X_qQWeyJm5w=&tv=400_400
川椒,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly81YjA5ODhlNTk1MjI1LmNkbi5zb2h1Y3MuY29tL2ltYWdlcy8yMDE3MTEwNy80ZWZjYjRmYzNhY2Y0NjQ5YTczYWE1ZjdiYzMyNzMxOS5qcGVn&sign=yx:WuY5pNXNYmTmgQxZZTfxQaneMHQ=&tv=400_400
蝮蛇,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9uLnNpbmFpbWcuY24vc2luYWtkMjAyMDQyMnMvMTE1L3cxMDgwaDYzNS8yMDIwMDQyMi9hNjg0LWlzcWl2eGY5NjQ3MDQ3LmpwZw==&sign=yx:Fffdc4Hr3ukuidSnm9MM9eXY-s8=&tv=400_400
覆盆子,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly93d3cuNzFjbC5jb20vVXBGaWxlLzIwMjIwNS8yMDIyMDUxMTc3NjcxOTQ1LmpwZw==&sign=yx:hHXTSPApoYUhRKfF0PAybK_OMCk=&tv=400_400
凤尾草,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9tbWJpei5xcGljLmNuL21tYml6X2pwZy9nOWlhY3I1WlJCU3VGZGp6bmVsdVZRdldaUTJDbVRHTXlybkQ0QjBQRnFVZ3Y3T1poQUYyeFd5TGVIUmlheFpjZ0lISVFob2lhTnB6aWJVd3lFdHRIemJZdHcvNjQwP3d4X2ZtdD1qcGVn&sign=yx:P9NnOgv9T6MIxyYdQbFU8KAnbNY=&tv=400_400
枸杞叶,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL3BpY24uaHVpdHUuY29tL3BpYy8yMDI0MDczMC8yMDI0MDczMDIzNDg0NDMyMTkzMV8wLmpwZw==&sign=yx:ZvPt_Lehd75Ppnc517w5ikLQa8Y=&tv=400_400
海参,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9haW1nOC5kbHNzeWh0LmNuL3UvMjA4MzQwNy9wcm9kdWN0LzIwMzEvNDA2MDcyMV8xNjEwNTAzODQwLmpwZw==&sign=yx:ntLRW0twSt-ACZiI-g_K_O1u6Yw=&tv=400_400
海蜇皮,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cDovL2ltZy55emNkbi5jbi91cGxvYWRfZmlsZXMvMjAyMC8wNy8wMy9GaFBWekpIS0t6YWROekhTbnZ0VU1zVlN2QTZxLmpwZw==&sign=yx:Q9uq6JAhRYrmanJESSoO5Ell8Lc=&tv=400_400
金刚藤头,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9wNS5pdGMuY24vcV83MC9pbWFnZXMwMS8yMDIzMDYxMC8zYThhOGZhYWZkMWY0OTQ2YTc5NWI2NGRkZjRkYTc4Zi5qcGVn&sign=yx:_YbXkVah3NW80Wg774QkSVCu2nw=&tv=400_400
苦瓜,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9wMC5zc2wuaW1nLjM2MGt1YWkuY29tL2RtZmQvX182MC90MTE1MDhjNzVjODlkNzkyM2QwMjExZjk5NjIuanBn&sign=yx:qaAacS68oVj8QT6qj3lNsh_hKyo=&tv=400_400
鹿角胶,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9zOS5yci5pdGMuY24vci93YXBDaGFuZ2UvMjAxNjEyXzE3XzExL2ExZmMydTU4NTgyOTA3NTg2Mi5qcGc=&sign=yx:lkCLNvMhVRhU8N375SaiMRb5G8E=&tv=400_400
神曲,https://kkimgs.yisou.com/ims?kt=url&at=smstruct&key=aHR0cHM6Ly9pbmV3cy5ndGltZy5jb20vbmV3c2FwcF9idC8wLzEyNzQ3Mjg4MTQ2LzEwMDAuanBn&sign=yx:_siFRUidckbXL0Hd8QdvnQIDXt0=&tv=400_400
